ID Degree,Degree,ID Year,Year,Completions,Geography,ID Geography,Slug Geography
2,"1 to 2 Year Postsecondary Certificate",2021,"2021",25,"Lawrence, KS","16000US2038900","lawrence-ks"
3,"Associates Degree",2021,"2021",76,"Lawrence, KS","16000US2038900","lawrence-ks"
5,"Bachelors Degree",2021,"2021",4694,"Lawrence, KS","16000US2038900","lawrence-ks"
6,"Postbaccalaureate Certificate",2021,"2021",267,"Lawrence, KS","16000US2038900","lawrence-ks"
7,"Masters Degree",2021,"2021",1560,"Lawrence, KS","16000US2038900","lawrence-ks"
8,"Post-Masters Certificate",2021,"2021",6,"Lawrence, KS","16000US2038900","lawrence-ks"
17,"Research Doctorate",2021,"2021",308,"Lawrence, KS","16000US2038900","lawrence-ks"
18,"Professional Doctorate",2021,"2021",608,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"1 to 2 Year Postsecondary Certificate",2020,"2020",24,"Lawrence, KS","16000US2038900","lawrence-ks"
3,"Associates Degree",2020,"2020",113,"Lawrence, KS","16000US2038900","lawrence-ks"
5,"Bachelors Degree",2020,"2020",4712,"Lawrence, KS","16000US2038900","lawrence-ks"
6,"Postbaccalaureate Certificate",2020,"2020",309,"Lawrence, KS","16000US2038900","lawrence-ks"
7,"Masters Degree",2020,"2020",1675,"Lawrence, KS","16000US2038900","lawrence-ks"
8,"Post-Masters Certificate",2020,"2020",17,"Lawrence, KS","16000US2038900","lawrence-ks"
17,"Research Doctorate",2020,"2020",366,"Lawrence, KS","16000US2038900","lawrence-ks"
18,"Professional Doctorate",2020,"2020",585,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"< 1 Year Postsecondary Certificate",2019,"2019",0,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"1 to 2 Year Postsecondary Certificate",2019,"2019",17,"Lawrence, KS","16000US2038900","lawrence-ks"
3,"Associates Degree",2019,"2019",146,"Lawrence, KS","16000US2038900","lawrence-ks"
5,"Bachelors Degree",2019,"2019",4607,"Lawrence, KS","16000US2038900","lawrence-ks"
6,"Postbaccalaureate Certificate",2019,"2019",345,"Lawrence, KS","16000US2038900","lawrence-ks"
7,"Masters Degree",2019,"2019",1697,"Lawrence, KS","16000US2038900","lawrence-ks"
8,"Post-Masters Certificate",2019,"2019",5,"Lawrence, KS","16000US2038900","lawrence-ks"
17,"Research Doctorate",2019,"2019",356,"Lawrence, KS","16000US2038900","lawrence-ks"
18,"Professional Doctorate",2019,"2019",572,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"< 1 Year Postsecondary Certificate",2018,"2018",3,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"1 to 2 Year Postsecondary Certificate",2018,"2018",14,"Lawrence, KS","16000US2038900","lawrence-ks"
3,"Associates Degree",2018,"2018",133,"Lawrence, KS","16000US2038900","lawrence-ks"
5,"Bachelors Degree",2018,"2018",4448,"Lawrence, KS","16000US2038900","lawrence-ks"
6,"Postbaccalaureate Certificate",2018,"2018",399,"Lawrence, KS","16000US2038900","lawrence-ks"
7,"Masters Degree",2018,"2018",1759,"Lawrence, KS","16000US2038900","lawrence-ks"
8,"Post-Masters Certificate",2018,"2018",7,"Lawrence, KS","16000US2038900","lawrence-ks"
17,"Research Doctorate",2018,"2018",366,"Lawrence, KS","16000US2038900","lawrence-ks"
18,"Professional Doctorate",2018,"2018",596,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"< 1 Year Postsecondary Certificate",2017,"2017",11,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"1 to 2 Year Postsecondary Certificate",2017,"2017",61,"Lawrence, KS","16000US2038900","lawrence-ks"
