ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"04","Architecture and Related Services","0402","Architecture","040201","Architecture",2021,"2021",7,"Masters Degree",0,"architecture-040201","Lawrence, KS","16000US2038900","lawrence-ks"
"04","Architecture and Related Services","0403","Urban Planning","040301","Urban, Community, & Regional Planning",2021,"2021",7,"Masters Degree",6,"urban-community-regional-planning","Lawrence, KS","16000US2038900","lawrence-ks"
"04","Architecture and Related Services","0409","Architectural Sciences & Technology","040902","Architectural & Building Sciences & Technology",2021,"2021",7,"Masters Degree",89,"architectural-building-sciences-technology","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0501","Area Studies","050101","African Studies",2021,"2021",7,"Masters Degree",1,"african-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0501","Area Studies","050102","American & U.S. Studies",2021,"2021",7,"Masters Degree",1,"american-us-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0501","Area Studies","050104","East Asian Studies",2021,"2021",7,"Masters Degree",2,"east-asian-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0501","Area Studies","050107","Latin American Studies",2021,"2021",7,"Masters Degree",0,"latin-american-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0501","Area Studies","050110","Russian Studies",2021,"2021",7,"Masters Degree",2,"russian-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0501","Area Studies","050125","German Studies",2021,"2021",7,"Masters Degree",0,"german-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0501","Area Studies","050134","Latin American & Caribbean Studies",2021,"2021",7,"Masters Degree",2,"latin-american-caribbean-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050202","Native American Studies",2021,"2021",7,"Masters Degree",6,"native-american-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050207","Women's Studies",2021,"2021",7,"Masters Degree",2,"womens-studies","Lawrence, KS","16000US2038900","lawrence-ks"
"09","Communications","0901","Communication and Media Studies","090101","Speech Communication & Rhetoric",2021,"2021",7,"Masters Degree",9,"speech-communication-rhetoric","Lawrence, KS","16000US2038900","lawrence-ks"
"09","Communications","0904","Journalism","090401","Journalism",2021,"2021",7,"Masters Degree",20,"journalism-090401","Lawrence, KS","16000US2038900","lawrence-ks"
"09","Communications","0907","Radio, Television, & Digital Communication","090702","Digital Communication & Multimedia",2021,"2021",7,"Masters Degree",16,"digital-communication-multimedia","Lawrence, KS","16000US2038900","lawrence-ks"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110101","General Computer & Information Sciences",2021,"2021",7,"Masters Degree",14,"general-computer-information-sciences-110101","Lawrence, KS","16000US2038900","lawrence-ks"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110103","Information Technology",2021,"2021",7,"Masters Degree",6,"information-technology","Lawrence, KS","16000US2038900","lawrence-ks"
"13","Education","1303","Curriculum & Instruction","130301","Curriculum & Instruction",2021,"2021",7,"Masters Degree",62,"curriculum-instruction-130301","Lawrence, KS","16000US2038900","lawrence-ks"
"13","Education","1304","Educational Administration & Support","130406","Higher Education & Administration",2021,"2021",7,"Masters Degree",23,"higher-education-administration","Lawrence, KS","16000US2038900","lawrence-ks"
"13","Education","1304","Educational Administration & Support","130499","Other Educational Administration & Supervision",2021,"2021",7,"Masters Degree",33,"other-educational-administration-supervision","Lawrence, KS","16000US2038900","lawrence-ks"
