ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030103","Environmental Studies",2021,"2021",5,"Bachelors Degree",54,"environmental-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030104","Environmental Science",2021,"2021",5,"Bachelors Degree",19,"environmental-science","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"04","Architecture and Related Services","0408","Architectural History & Criticism","040801","General Architectural History & Criticism",2021,"2021",5,"Bachelors Degree",16,"general-architectural-history-criticism","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0501","Area Studies","050101","African Studies",2021,"2021",5,"Bachelors Degree",3,"african-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0501","Area Studies","050102","American & U.S. Studies",2021,"2021",5,"Bachelors Degree",8,"american-us-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0501","Area Studies","050106","European Studies",2021,"2021",5,"Bachelors Degree",1,"european-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0501","Area Studies","050107","Latin American Studies",2021,"2021",5,"Bachelors Degree",0,"latin-american-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0501","Area Studies","050110","Russian Studies",2021,"2021",5,"Bachelors Degree",1,"russian-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0501","Area Studies","050125","German Studies",2021,"2021",5,"Bachelors Degree",8,"german-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0501","Area Studies","050134","Latin American & Caribbean Studies",2021,"2021",5,"Bachelors Degree",1,"latin-american-caribbean-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050202","Native American Studies",2021,"2021",5,"Bachelors Degree",22,"native-american-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050207","Women's Studies",2021,"2021",5,"Bachelors Degree",26,"womens-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"09","Communications","0901","Communication and Media Studies","090101","Speech Communication & Rhetoric",2021,"2021",5,"Bachelors Degree",155,"speech-communication-rhetoric","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"09","Communications","0901","Communication and Media Studies","090102","Mass Communication & Media Studies",2021,"2021",5,"Bachelors Degree",9,"mass-communication-media-studies","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"09","Communications","0904","Journalism","090401","Journalism",2021,"2021",5,"Bachelors Degree",237,"journalism-090401","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110101","General Computer & Information Sciences",2021,"2021",5,"Bachelors Degree",94,"general-computer-information-sciences-110101","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110103","Information Technology",2021,"2021",5,"Bachelors Degree",24,"information-technology","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
"11","Computer and Information Sciences and Support Services","1107","Computer Science","110701","Computer Science",2021,"2021",5,"Bachelors Degree",3,"computer-science-110701","Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
