ID Gender,Gender,ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,Geography,ID Geography,Slug Geography
1,"Men","asian","Asian",2021,"2021",1406,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","black","Black or African American",2021,"2021",1310,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2021,"2021",32,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","hispanic","Hispanic or Latino",2021,"2021",2142,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","multiracial","Two or More Races",2021,"2021",1202,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","native","American Indian or Alaska Native",2021,"2021",630,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","nonresident","Non-resident Alien",2021,"2021",2016,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","unknown","Unknown",2021,"2021",356,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
1,"Men","white","White",2021,"2021",17762,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","asian","Asian",2021,"2021",1782,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","black","Black or African American",2021,"2021",1478,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2021,"2021",32,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","hispanic","Hispanic or Latino",2021,"2021",2850,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","multiracial","Two or More Races",2021,"2021",1734,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","native","American Indian or Alaska Native",2021,"2021",1096,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","nonresident","Non-resident Alien",2021,"2021",1698,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","unknown","Unknown",2021,"2021",320,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
2,"Women","white","White",2021,"2021",21926,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940"
