ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",499.00000000000006,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",91871,0.7740416210295729
0,"White Alone",1,"Hispanic or Latino",2021,"2021",338,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",3728,0.031409554301120565
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",439,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4629,0.03900075827786671
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",180,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",362,0.0030499620861066646
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",307,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1877,0.01581430617575196
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",291,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",500,0.004212654815064454
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",401,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5990,0.05046760468447215
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",67,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",55,0.0004633920296570899
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",26,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",25,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",22,0.00018535681186283596
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",232.99999999999997,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",632,0.005324795686241469
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",228.00000000000003,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",633,0.005333220995871598
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",784.5967116933388,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5959,0.05020642008593816
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",498.206784377732,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2432,0.0204903530204735
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",585,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",94090,0.775654553848183
0,"White Alone",1,"Hispanic or Latino",2020,"2020",437.00000000000006,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4326,0.035662467849370175
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",448,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4812,0.039668930950339645
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",264,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",419,0.0034541317681197653
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2020,"2020",261,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2178,0.017954890193233528
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2020,"2020",243,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",372,0.003066675460001319
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",307,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",6343,0.052290114093517116
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",63.00000000000001,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",83,0.0006842313526347029
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",18,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",13,0.00010716876607531491
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",26,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",22,0.00018136252720437907
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",388,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",753,0.006207544681131702
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",292,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",911,0.007510057376508606
