Year,Crime Index,Arson,Assaults,Auto thefts,Burglaries,Murders,Rapes,Robberies,Thefts
2007-01-01,3687.3,367.0,4952.0,6167.0,10641.0,77.0,617.0,1581.0,41597.0
2008-01-01,3340.0,382.0,4464.0,4809.0,9833.0,79.0,598.0,1228.0,37623.0
2009-01-01,3312.4,338.0,4413.0,4171.0,10325.0,79.0,617.0,1414.0,38134.0
2010-01-01,3188.5,298.0,4249.0,4179.0,10395.0,65.0,570.0,1216.0,36736.0
2011-01-01,3195.0,290.0,4141.0,4876.0,9998.0,80.0,633.0,1192.0,37486.0
2012-01-01,3067.2,348.0,4149.0,4807.0,9633.0,58.0,566.0,1194.0,38704.0
2013-01-01,2938.9,270.0,4022.0,4719.0,8950.0,67.0,602.0,1099.0,36586.0
2014-01-01,2730.0,241.0,3862.0,4742.0,7608.0,61.0,842.0,1084.0,31650.0
2015-01-01,2851.1,285.0,4423.0,4789.0,7456.0,79.0,1032.0,1421.0,32428.0
2016-01-01,2284.6,191.0,4314.0,3994.0,6117.0,58.0,637.0,1063.0,28935.0
2017-01-01,2378.8,186.0,4225.0,4175.0,5736.0,73.0,766.0,1053.0,29255.0
2018-01-01,2377.8,227.0,4992.0,4515.0,5778.0,59.0,810.0,992.0,29490.0
2019-01-01,2159.7,171.0,5032.0,4190.0,4622.0,60.0,696.0,864.0,27575.0
2020-01-01,1546.3,189.0,5099.0,3342.0,3448.0,52.0,524.0,558.0,20800.0
