,Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,City name,Latitude,Longitude
0,Murders,1,3,0,2,1,1,3,0,1,2,2,1,1,0,Hutchinson,38.060844,-97.929771
1,Rapes,19,28,34,25,22,26,43,32,43,35,40,37,26,11,Hutchinson,38.060844,-97.929771
2,Robberies,22,21,23,35,28,24,27,21,26,24,36,18,20,4,Hutchinson,38.060844,-97.929771
3,Assaults,187,220,206,184,183,211,182,152,186,126,165,115,107,66,Hutchinson,38.060844,-97.929771
4,Burglaries,432,468,417,589,503,503,437,381,261,431,429,360,260,79,Hutchinson,38.060844,-97.929771
5,Thefts,1805,1806,1564,2199,2117,1915,1704,1244,1455,1366,1382,1191,978,415,Hutchinson,38.060844,-97.929771
6,Auto thefts,104,89,80,106,129,123,134,86,113,133,140,122,61,22,Hutchinson,38.060844,-97.929771
7,Arson,32,37,36,23,22,21,17,17,8,10,17,16,11,6,Hutchinson,38.060844,-97.929771
8,Crime Index,420,470.9,425.3,496.6,460,457.7,463.8,348.3,402.2,385.7,428.4,351.5,278,117.2,Hutchinson,38.060844,-97.929771
0,Murders,20,23,35,25,27,15,28,25,28,0,0,0,0,0,Kansas,39.106667,-94.676392
1,Rapes,91,59,80,62,95,85,83,233,264,0,0,0,0,0,Kansas,39.106667,-94.676392
2,Robberies,489,229,318,289,291,277,238,254,304,0,0,0,0,0,Kansas,39.106667,-94.676392
3,Assaults,549,386,507,447,534,500,382,548,567,0,0,0,0,0,Kansas,39.106667,-94.676392
4,Burglaries,2269,1498,1918,1922,1827,1772,1617,1663,1311,0,0,0,0,0,Kansas,39.106667,-94.676392
5,Thefts,5431,3470,4744,4684,4792,4558,4566,4697,4754,0,0,0,0,0,Kansas,39.106667,-94.676392
6,Auto thefts,2017,1166,1080,1129,1264,1208,1045,956,989,0,0,0,0,0,Kansas,39.106667,-94.676392
7,Arson,0,0,0,0,0,69,56,61,77,0,0,0,0,0,Kansas,39.106667,-94.676392
8,Crime Index,632.4,406.3,521.6,471.9,507.7,464.7,440.1,538.5,553.9,0,0,0,0,0,Kansas,39.106667,-94.676392
0,Murders,0,4,0,0,0,0,3,1,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
1,Rapes,48,41,62,42,38,53,55,25,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
2,Robberies,63,78,76,62,37,53,75,27,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
3,Assaults,299,291,293,315,271,269,216,158,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
4,Burglaries,550,800,683,527,505,607,494,209,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
5,Thefts,4313,3693,3603,3189,3142,3213,2981,1609,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
6,Auto thefts,196,199,156,157,194,203,174,99,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
7,Arson,23,26,20,21,14,26,19,12,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
8,Crime Index,381.8,375.5,365.8,333.4,308.7,335.7,314.8,162.4,0,0,0,0,0,0,Lawrence,38.960213,-95.27739
0,Murders,0,0,0,1,1,1,0,2,0,0,1,0,0,0,Lenexa,38.9536,94.7336
1,Rapes,7,12,12,9,12,9,9,8,7,9,18,13,17,12,Lenexa,38.9536,94.7336
2,Robberies,14,10,21,12,12,6,11,6,11,7,9,12,4,11,Lenexa,38.9536,94.7336
3,Assaults,68,64,56,44,44,43,38,40,56,55,63,84,66,80,Lenexa,38.9536,94.7336
4,Burglaries,196,182,122,158,113,95,106,84,97,92,145,100,69,99,Lenexa,38.9536,94.7336
5,Thefts,1009,951,838,756,867,777,716,638,679,740,698,672,606,646,Lenexa,38.9536,94.7336
6,Auto thefts,156,104,69,85,106,97,76,92,113,95,99,79,86,158,Lenexa,38.9536,94.7336
7,Arson,14,12,5,4,8,14,1,1,3,1,1,2,0,3,Lenexa,38.9536,94.7336
8,Crime Index,199.6,182.1,156.9,144.6,154.8,132.2,121,115.9,121.9,119.8,144.6,130.6,113.7,131.5,Lenexa,38.9536,94.7336
0,Murders,2,2,0,4,6,0,2,0,3,1,2,2,4,2,Olathe,38.8814,94.8191
1,Rapes,37,62,48,41,48,38,37,37,36,45,71,80,78,46,Olathe,38.8814,94.8191
2,Robberies,39,35,44,28,20,24,23,15,23,31,33,26,35,22,Olathe,38.8814,94.8191
3,Assaults,555,514,172,143,152,129,123,49,115,145,149,197,174,285,Olathe,38.8814,94.8191
4,Burglaries,346,247,321,243,259,315,217,199,190,178,165,147,126,155,Olathe,38.8814,94.8191
5,Thefts,2553,2267,2126,1922,1774,1988,1877,1388,1710,1789,1641,1639,1300,1550,Olathe,38.8814,94.8191
